,teamId,participantId,champion,role,lane,spell1,spell2,item1,item2,item3,item4,item5,item6,item7,win,kills,deaths,assists,largestKillingSpree,killingSprees,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,longestTimeSpentLiving,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,visionScore,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,primaryKeystone,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,championName,summonerSpell1,summonerSpell2,team,keystone,item-1,item-2,item-3,item-4,item-5,item-6,item-7
{'summonerName': 'Mashuu'},100,1,235,DUO_SUPPORT,BOTTOM,21,4,2420,3864,3147,3179,3508,3009,3364,True,6,6,15,5,1,2,1,0,0,0,394,42703,0,42333,370,455,13560,0,13246,314,13275,6649,6417,208,11566,10575,2,0,32,8,0,0,13,3,0,61,23,13,False,False,True,False,8351,"{'10-20': 1.3, '0-10': 0.4}","{'10-20': 349.70000000000005, '0-10': 263.5}","{'10-20': 398.70000000000005, '0-10': 236.79999999999998}",Senna,Barrier,Flash,Blue,Glacial Augment,Stopwatch,Black Mist Scythe,Duskblade of Draktharr,Umbral Glaive,Essence Reaver,Boots of Swiftness,Oracle Lens
{'summonerName': 'ìrelia'},100,2,268,SOLO,TOP,12,4,1056,3157,3020,3108,3101,1056,3340,True,1,3,6,0,0,1,0,0,0,0,560,92720,88628,4092,0,0,10472,10118,353,0,10142,3636,6161,343,8335,7050,2,0,154,9,7,0,14,2,0,18,11,3,False,False,False,False,9923,"{'10-20': 5.5, '0-10': 5.2}","{'10-20': 407.20000000000005, '0-10': 402.9}","{'10-20': 258.4, '0-10': 207.1}",Azir,Teleport,Flash,Blue,Hail of Blades,Doran's Ring,Zhonya's Hourglass,Sorcerer's Shoes,Fiendish Codex,Stinger,Doran's Ring,Warding Totem (Trinket)
{'summonerName': 'Kyulkyung'},100,3,61,SOLO,MIDDLE,4,12,3020,3157,2003,3285,0,0,3340,True,3,7,14,2,1,2,1,0,0,0,449,85642,72227,11875,1540,0,12090,11808,281,0,17549,8658,8759,132,9442,8350,0,0,154,4,4,0,14,0,0,19,9,4,False,False,False,False,8230,"{'10-20': 4.3, '0-10': 8}","{'10-20': 372.6, '0-10': 473.4}","{'10-20': 255, '0-10': 261.8}",Orianna,Flash,Teleport,Blue,Phase Rush,Sorcerer's Shoes,Zhonya's Hourglass,Health Potion,Luden's Echo,N/A,N/A,Warding Totem (Trinket)
{'summonerName': 'yohanswer'},100,4,62,NONE,JUNGLE,11,4,3134,2055,3111,3078,1400,0,3364,True,5,3,7,3,2,2,1,0,0,0,816,122085,23585,87493,11006,0,8741,2162,6278,300,24486,8034,16451,0,10404,9218,1,0,28,117,81,1,15,6,0,29,6,2,False,False,False,False,8010,"{'10-20': 1.5, '0-10': 0}","{'10-20': 505.7, '0-10': 295.4}","{'10-20': 383.70000000000005, '0-10': 233.39999999999998}",MonkeyKing,Smite,Flash,Blue,Conqueror,Serrated Dirk,Control Ward,Mercury's Treads,Trinity Force,Enchantment: Warrior,N/A,Oracle Lens
{'summonerName': 'Clutchreal'},100,5,81,DUO_CARRY,BOTTOM,4,7,3042,0,3812,3078,0,3158,3363,True,12,5,8,5,3,2,2,0,0,0,532,118863,8662,107917,2284,0,25031,5505,19147,378,20711,8013,11985,712,12872,11283,1,1,153,4,4,0,14,2,0,21,10,1,True,False,False,True,8010,"{'10-20': 5.3, '0-10': 6.9}","{'10-20': 385.1, '0-10': 302.7}","{'10-20': 426.20000000000005, '0-10': 358.1}",Ezreal,Flash,Heal,Blue,Conqueror,Muramana,N/A,Death's Dance,Trinity Force,N/A,Ionian Boots of Lucidity,Farsight Alteration
{'summonerName': 'Pokgai'},200,6,201,DUO_SUPPORT,BOTTOM,14,4,3111,3050,3857,3109,0,0,3364,False,1,5,11,0,0,1,0,0,0,0,835,15177,6380,3453,5342,0,2625,2305,49,270,14527,3613,10577,336,6432,6200,0,0,23,0,0,0,11,2,0,38,21,2,False,False,False,False,8465,"{'10-20': 1.2, '0-10': 0.8}","{'10-20': 370.5, '0-10': 249}","{'10-20': 258.6, '0-10': 174.7}",Braum,Ignite,Flash,Red,Guardian,Mercury's Treads,Zeke's Convergence,Pauldrons of Whiterock,Knight's Vow,N/A,N/A,Oracle Lens
{'summonerName': 'chaoto'},200,7,523,DUO_CARRY,BOTTOM,7,4,3085,3133,1053,1001,0,3031,3363,False,1,8,7,0,0,1,0,0,0,0,451,106440,1908,99088,5444,698,8309,491,7685,132,18474,5118,13209,146,8946,9100,2,0,171,8,4,4,12,2,0,20,11,3,False,False,False,False,8010,"{'10-20': 7.800000000000001, '0-10': 5.3}","{'10-20': 396.20000000000005, '0-10': 282.4}","{'10-20': 330.8, '0-10': 224.7}",Aphelios,Heal,Flash,Red,Conqueror,Runaan's Hurricane,Caulfield's Warhammer,Vampiric Scepter,Boots of Speed,N/A,Infinity Edge,Farsight Alteration
{'summonerName': 'GooberGoofers'},200,8,122,DUO_CARRY,TOP,4,6,3153,3071,3067,1001,1054,1028,3340,False,3,7,2,3,1,1,0,0,0,0,585,93578,370,88514,4693,0,6206,370,5492,343,27247,9867,17128,252,8857,8475,1,0,157,8,1,4,14,1,0,27,10,2,False,False,False,False,8010,"{'10-20': 7.199999999999999, '0-10': 7.6}","{'10-20': 531.3, '0-10': 483.5}","{'10-20': 387.2, '0-10': 294.9}",Darius,Flash,Ghost,Red,Conqueror,Blade of the Ruined King,Black Cleaver,Kindlegem,Boots of Speed,Doran's Shield,Ruby Crystal,Warding Totem (Trinket)
{'summonerName': 'Rebar'},200,9,101,SOLO,MIDDLE,21,4,1056,3020,3285,3089,3916,0,3340,False,4,5,10,0,0,1,0,0,0,0,878,142571,131659,9166,1745,0,28857,28560,247,49,14258,7152,7016,90,10281,9800,0,0,179,8,8,0,14,0,0,8,7,0,False,False,False,False,8229,"{'10-20': 6.5, '0-10': 7.6}","{'10-20': 570, '0-10': 496.79999999999995}","{'10-20': 467.7, '0-10': 271.2}",Xerath,Barrier,Flash,Red,Arcane Comet,Doran's Ring,Sorcerer's Shoes,Luden's Echo,Rabadon's Deathcap,Oblivion Orb,N/A,Warding Totem (Trinket)
{'summonerName': 'Serpent of Sheol'},200,10,141,DUO_SUPPORT,TOP,4,11,3077,3142,1400,3179,3117,3814,3364,False,15,4,4,10,2,3,2,2,0,0,1072,171521,6975,158217,6328,0,18985,2084,16300,600,22864,6106,16589,168,13422,13450,0,0,22,147,106,11,15,2,0,33,3,6,False,False,False,False,8128,"{'10-20': 1.2000000000000002, '0-10': 0.5}","{'10-20': 621.5999999999999, '0-10': 354.9}","{'10-20': 653.1, '0-10': 363.2}",Kayn,Flash,Smite,Red,Dark Harvest,Tiamat,Youmuu's Ghostblade,Enchantment: Warrior,Umbral Glaive,Boots of Mobility,Edge of Night,Oracle Lens
